timestamp,session_id,round,opponent,reaction_time_ms,won,false_start
2026-05-05T16:28:34,20260505T162834,1,L,8419,1,0
2026-05-05T16:28:53,20260505T162834,2,L,177,1,0
2026-05-05T16:29:04,20260505T162834,3,L,288,1,0
2026-05-05T17:17:39,20260505T171739,1,A,1121524,1,0
2026-05-05T17:18:03,20260505T171739,2,A,15656,1,0
2026-05-05T17:18:14,20260505T171739,3,A,199,1,0
2026-05-05T17:18:27,20260505T171821,1,A,303,1,0
2026-05-05T17:18:48,20260505T171821,2,A,,0,0
2026-05-05T17:19:31,20260505T171821,3,A,24041,1,0
2026-05-05T17:19:49,20260505T171821,4,A,,0,0
2026-05-05T17:20:11,20260505T171821,5,A,,0,0
