timestamp,session_id,round,opponent,reaction_time_ms,won,false_start
2026-04-23T14:53:09,20260423T145309,1,Tamella,,1,0
2026-04-23T14:53:22,20260423T145315,1,Tamella,158,1,0
2026-04-23T14:53:26,20260423T145315,2,Tamella,,0,0
2026-04-23T14:53:41,20260423T145315,3,Tamella,95,1,0
2026-04-23T14:53:58,20260423T145315,4,Tamella,15,1,0
2026-04-23T15:13:10,20260423T145411,1,Tamella,1123344,1,0
2026-04-23T15:13:23,20260423T145411,2,Tamella,26,1,0
2026-04-23T15:13:39,20260423T145411,3,Tamella,,0,0
2026-04-23T15:13:54,20260423T145411,4,Tamella,,0,0
2026-04-23T15:14:10,20260423T145411,5,Tamella,48,1,0
